trainname,time,station,x,y
1,338,大崎,895,465
1,339,大崎,895,465
1,340,大崎〜大井町,835,465
1,341,大崎〜大井町,835,465
1,342,大井町,775,465
1,343,大井町〜品川シーサイド,715,465
1,344,大井町〜品川シーサイド,715,465
1,345,品川シーサイド,655,465
1,346,品川シーサイド〜天王洲アイル,595,465
1,347,天王洲アイル,535,465
1,348,天王洲アイル〜東京テレポート,475,465
1,349,天王洲アイル〜東京テレポート,475,465
1,350,天王洲アイル〜東京テレポート,475,465
1,351,東京テレポート,415,465
1,352,東京テレポート〜国際展示場,355,465
1,353,国際展示場,295,465
1,354,国際展示場,295,465
1,355,国際展示場〜東雲,235,465
1,356,東雲,175,465
1,357,東雲〜新木場,115,465
1,358,新木場,55,465
2,363,大崎,895,465
2,364,大崎,895,465
2,365,大崎〜大井町,835,465
2,366,大崎〜大井町,835,465
2,367,大井町,775,465
2,368,大井町,775,465
2,369,大井町〜品川シーサイド,715,465
2,370,品川シーサイド,655,465
2,371,品川シーサイド〜天王洲アイル,595,465
2,372,天王洲アイル,535,465
2,373,天王洲アイル,535,465
2,374,天王洲アイル〜東京テレポート,475,465
2,375,天王洲アイル〜東京テレポート,475,465
2,376,東京テレポート,415,465
2,377,東京テレポート〜国際展示場,355,465
2,378,国際展示場,295,465
2,379,国際展示場,295,465
2,380,国際展示場〜東雲,235,465
2,381,東雲,175,465
2,382,東雲〜新木場,115,465
2,383,東雲〜新木場,115,465
2,384,新木場,55,465
3,377,大崎,895,465
3,378,大崎,895,465
3,379,大崎〜大井町,835,465
3,380,大井町,775,465
3,381,大井町,775,465
3,382,大井町〜品川シーサイド,715,465
3,383,品川シーサイド,655,465
3,384,品川シーサイド,655,465
3,385,天王洲アイル,535,465
3,386,天王洲アイル,535,465
3,387,天王洲アイル〜東京テレポート,475,465
3,388,天王洲アイル〜東京テレポート,475,465
3,389,東京テレポート,415,465
3,390,東京テレポート,415,465
3,391,東京テレポート〜国際展示場,355,465
3,392,国際展示場,295,465
3,393,国際展示場,295,465
3,394,東雲,175,465
3,395,東雲,175,465
3,396,東雲〜新木場,115,465
3,397,新木場,55,465
4,389,大崎,895,465
4,390,大崎,895,465
4,391,大崎〜大井町,835,465
4,392,大崎〜大井町,835,465
4,393,大井町,775,465
4,394,大井町〜品川シーサイド,715,465
4,395,品川シーサイド,655,465
4,396,品川シーサイド〜天王洲アイル,595,465
4,397,天王洲アイル,535,465
4,398,天王洲アイル〜東京テレポート,475,465
4,399,天王洲アイル〜東京テレポート,475,465
4,400,天王洲アイル〜東京テレポート,475,465
4,401,東京テレポート,415,465
4,402,東京テレポート〜国際展示場,355,465
4,403,国際展示場,295,465
4,404,国際展示場,295,465
4,405,国際展示場〜東雲,235,465
4,406,東雲,175,465
4,407,東雲〜新木場,115,465
4,408,新木場,55,465
5,405,大崎,895,465
5,406,大崎,895,465
5,407,大崎〜大井町,835,465
5,408,大井町,775,465
5,409,大井町,775,465
5,410,大井町〜品川シーサイド,715,465
5,411,品川シーサイド,655,465
5,412,品川シーサイド,655,465
5,413,品川シーサイド〜天王洲アイル,595,465
5,414,天王洲アイル,535,465
5,415,天王洲アイル〜東京テレポート,475,465
5,416,天王洲アイル〜東京テレポート,475,465
5,417,東京テレポート,415,465
5,418,東京テレポート,415,465
5,419,東京テレポート〜国際展示場,355,465
5,420,国際展示場,295,465
5,421,国際展示場,295,465
5,422,東雲,175,465
5,423,東雲,175,465
5,424,東雲〜新木場,115,465
5,425,新木場,55,465
6,414,大崎,895,465
6,415,大崎,895,465
6,416,大崎〜大井町,835,465
6,417,大井町,775,465
6,418,大井町,775,465
6,419,大井町〜品川シーサイド,715,465
6,420,品川シーサイド,655,465
6,421,品川シーサイド,655,465
6,422,天王洲アイル,535,465
6,423,天王洲アイル,535,465
6,424,天王洲アイル〜東京テレポート,475,465
6,425,天王洲アイル〜東京テレポート,475,465
6,426,東京テレポート,415,465
6,427,東京テレポート,415,465
6,428,東京テレポート〜国際展示場,355,465
6,429,国際展示場,295,465
6,430,国際展示場,295,465
6,431,東雲,175,465
6,432,東雲,175,465
6,433,東雲〜新木場,115,465
6,434,新木場,55,465
7,419,大崎,895,465
7,420,大崎,895,465
7,421,大崎〜大井町,835,465
7,422,大崎〜大井町,835,465
7,423,大井町,775,465
7,424,大井町〜品川シーサイド,715,465
7,425,大井町〜品川シーサイド,715,465
7,426,品川シーサイド,655,465
7,427,品川シーサイド〜天王洲アイル,595,465
7,428,天王洲アイル,535,465
7,429,天王洲アイル〜東京テレポート,475,465
7,430,天王洲アイル〜東京テレポート,475,465
7,431,天王洲アイル〜東京テレポート,475,465
7,432,東京テレポート,415,465
7,433,東京テレポート〜国際展示場,355,465
7,434,国際展示場,295,465
7,435,国際展示場,295,465
7,436,国際展示場〜東雲,235,465
7,437,東雲,175,465
7,438,東雲〜新木場,115,465
7,439,新木場,55,465
8,426,大崎,895,465
8,427,大崎,895,465
8,428,大崎〜大井町,835,465
8,429,大崎〜大井町,835,465
8,430,大井町,775,465
8,431,大井町,775,465
8,432,大井町〜品川シーサイド,715,465
8,433,品川シーサイド,655,465
8,434,品川シーサイド〜天王洲アイル,595,465
8,435,天王洲アイル,535,465
8,436,天王洲アイル,535,465
8,437,天王洲アイル〜東京テレポート,475,465
8,438,天王洲アイル〜東京テレポート,475,465
8,439,東京テレポート,415,465
8,440,東京テレポート,415,465
8,441,国際展示場,295,465
8,442,国際展示場,295,465
8,443,国際展示場〜東雲,235,465
8,444,東雲,175,465
8,445,東雲〜新木場,115,465
8,446,東雲〜新木場,115,465
8,447,新木場,55,465
9,435,大崎,895,465
9,436,大崎,895,465
9,437,大崎〜大井町,835,465
9,438,大井町,775,465
9,439,大井町,775,465
9,440,大井町〜品川シーサイド,715,465
9,441,品川シーサイド,655,465
9,442,品川シーサイド,655,465
9,443,天王洲アイル,535,465
9,444,天王洲アイル,535,465
9,445,天王洲アイル〜東京テレポート,475,465
9,446,天王洲アイル〜東京テレポート,475,465
9,447,東京テレポート,415,465
9,448,東京テレポート,415,465
9,449,東京テレポート〜国際展示場,355,465
9,450,国際展示場,295,465
9,451,国際展示場〜東雲,235,465
9,452,東雲,175,465
9,453,東雲〜新木場,115,465
9,454,東雲〜新木場,115,465
9,455,新木場,55,465
10,442,大崎,895,465
10,443,大崎,895,465
10,444,大崎〜大井町,835,465
10,445,大井町,775,465
10,446,大井町,775,465
10,447,大井町〜品川シーサイド,715,465
10,448,品川シーサイド,655,465
10,449,品川シーサイド,655,465
10,450,天王洲アイル,535,465
10,451,天王洲アイル,535,465
10,452,天王洲アイル〜東京テレポート,475,465
10,453,天王洲アイル〜東京テレポート,475,465
10,454,東京テレポート,415,465
10,455,東京テレポート,415,465
10,456,東京テレポート〜国際展示場,355,465
10,457,国際展示場,295,465
10,458,国際展示場〜東雲,235,465
10,459,東雲,175,465
10,460,東雲〜新木場,115,465
10,461,東雲〜新木場,115,465
10,462,新木場,55,465
11,442,大崎,895,465
11,443,大崎,895,465
11,444,大崎〜大井町,835,465
11,445,大井町,775,465
11,446,大井町,775,465
11,447,大井町〜品川シーサイド,715,465
11,448,品川シーサイド,655,465
11,449,品川シーサイド,655,465
11,450,天王洲アイル,535,465
11,451,天王洲アイル,535,465
11,452,天王洲アイル〜東京テレポート,475,465
11,453,天王洲アイル〜東京テレポート,475,465
11,454,東京テレポート,415,465
11,455,東京テレポート,415,465
11,456,東京テレポート〜国際展示場,355,465
11,457,国際展示場,295,465
11,458,国際展示場〜東雲,235,465
11,459,東雲,175,465
